Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
40,0,0,SubdueNotDone,Deberíamos raptar|a Mildred.,¿Raptarle?  ¿Atarle y|amordazarle?  ¡Esa idea es brutal!,50,1,0,
40,0,0,SubdueNotDone,Me vas a ayudar|a someter a la profesora.,¡Oh Dios!  ¿Someter a Miss Mildred?,50,0,1,
50,2,0,SubdueNotDone,¿Así que vas a|ayudar a una amiga?,"(Se rie y te guiña un ojo.)  Mi vieja amiga.|Si. Te voy a ayudar. Pero empiezas tu.",60,0,0,AgreeHelp()
50,0,2,SubdueNotDone,¡Hazlo! Será épico.,¡De acuerdo!  Te ayudaré.|Pero empiezas tu.,60,0,0,AgreeHelp()
50,0,0,SubdueNotDone,¿Me vas aa ayudar?,"Parece divertido, Pero podría|demasiados problemas.",50,0,0,
50,0,0,SubdueNotDone,Déjame pensarlo|primero.,"(Asiente.)  Claro, Yo también|voy a pensarlo.",50,0,0,
0,0,0,SubdueSuccess,¿A qué la clase|es mejor ahora?,"¿Mejor?  Es la mejor clase de la historia.|Soy sarah, encantada de conocerte.",10,1,0,
0,0,0,SubdueSuccess,¿Te gusta la |profesora así?,"Está preciosa en lencería.  (Sonríe.)|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,SubdueSuccess,Tiene lo que se merece.,"¿Se merecía eso?  Puede que sí.|Soy Sarah, encantada de conocerte",10,0,0,
10,0,0,SubdueSuccess,(Te relajas y observas.),(Ella también observa a Mildred.)|Es una visa estupenda.,20,0,0,
10,0,0,SubdueSuccess,Ahora soy la|jefa de la clase.,Eso es verdad.  Tenemos nueva profesora.,20,0,1,
10,0,0,SubdueSuccess,Tienes que pagar para|ver el espectáculo.,Yo... No te voy a dar dinero.,20,-1,0,
10,0,0,SubdueSuccess,¿Crees que hemos|ido demasiado lejos?,"Tal vez si, tal vez no|No tengas tanto miedo".,20,0,-1,
20,0,0,SubdueSuccess,¿A quién metemos|en líos ahora?,¡A cerdita!  Quiero decir a Sidney.|¡Qué tenga problemas!.,30,0,0,
20,0,0,SubdueSuccess,¿Te gustaría estar|atada cómo ella?,¿Aquí? ¿Ahora?|Puede.  (Se ruboriza.),30,0,1,
20,0,0,SubdueSuccess,"Eres preciosa, |me gusta tu pelo.",(Se arregla el pelo y sonríe.)|¡Gracias!  Pero tu eres más guapa que yo.,30,1,0,
20,0,0,SubdueSuccess,¿Deberíamos dejarlo.,¿Y perdernos el espectáculo?  ¡No!.,30,0,0,
20,0,0,SubdueSuccess,¿Debería humillar|también a Amanda?,"No, por favor, es mi mejor amiga.| Y tendría pesadillas.",30,-1,0,
30,0,0,SubdueSuccess,¿Te excita ver|ver así a la profe?,(se ruboriza.)|No puedo contestar a eso.,40,0,1,
30,0,0,SubdueSuccess,Sidney nos está mirando.|¿Debería castigarle?,¡Si!  Es uns gran idea.  (risitas.),40,1,0,
30,0,0,SubdueSuccess,Podemos relajarnos y|disfrutar el espectáculo.,Bien dicho.  (Se tumba para ver mejor a la profesora.),40,0,0,
30,0,0,SubdueSuccess,Me encanta el bondage.|¿Podrías atarme?,NO se me da bien atar.  Pero|si quieres que te aten conozco un club.,40,0,-1,
40,0,0,SubdueSuccess,"Seguro que el tiempo| pasará volando ahora.",Demasiado ráido para mi gusto.|Hágamos fotos antes de que se acabe.,50,0,0,
40,0,0,SubdueSuccess,¿Querrías estar atada|junto a Amanda?,¿Atada junto a la dulce Amy?|Sería un sueño hecho realidad.,50,1,1,
40,0,0,SubdueSuccess,¿Deberiamos terminar|todo este bondage?,¡No!  Es la mejor clase de mi vida.,50,-1,-1,
110,0,0,Common_PlayerGagged,@Uugnm mugn!,Loongm monng gnu!,110,0,0,
110,0,0,Common_PlayerNotRestrained,(Quítale la mordaza.)|(1 minuto),(Sueltas y retiras la mordaza.)|¡Boooh!  ¿Me amordazarás otra vez luego?,100,0,0,Ungag()
130,0,0,Common_PlayerGagged,@Uugnm mugn!,Loongm monng gnu!,130,0,0,
130,0,0,Common_PlayerNotRestrained,(Quítale la mordaza.)|(1 minuto),(Sueltas y retiras la mordaza.)|¡Oh!  ¿Me amordazarás otra vez luego,120,0,0,Ungag()
140,0,0,Common_PlayerNotRestrained,(hazle cosquillas.)|(1 minuto),"(Le haces cosquillas y se rie ligeramente.)|jejeje, ¿Qué me vas a hacer ahora?",140,0,0,
140,0,0,Common_PlayerNotRestrained,(Desátale.)|(1 minuto),(Desatas los nudos y después se viste.)|¡Ha sido genial!  Tenemos que repetirlo.,100,0,0,Untie()
140,0,0,BondageHugReady,¿Te gustaría abrazar|a Amanda? (1 minuto),¿Abrazar a Amy?  ¡Sí!  (Se acerca a|su amiga para darle un abrazo bondage sexy),160,0,0,BondageHug()
150,0,0,Common_PlayerGagged,@Uugnm mugn!,Loongm monng gnu!,150,0,0,
150,0,0,Common_PlayerNotRestrained,(Hazle cosquillas.)|(1 minuto),(Le haces cosquillas y se rie ligeramente.),150,0,0,
150,0,0,Common_PlayerNotRestrained,(quítale la mordaza.)|(1 minuto),(desabrochas y le quitas la bola.)|¿tienes otra mordaza para mi?,140,0,0,Ungag()
150,0,0,Common_PlayerNotRestrained,(Desátale)|(1 minuto),(Desatas los nudos y se viste.)|(Despúes mastica la mordaza con alegria.),110,0,0,Untie()
150,0,0,BondageHugReady,¿Te gustaría abrazar|a Amanda? (1 minuto),(Asiente feliz y se acerca a su| amiga para darle un sexy abrazo bondage.),170,0,0,BondageHug()
160,0,0,,¿Quieres besarle?|  (1 minuto),(Se ruboriza y asiente.)  ¿Un beso Amy?|(Se acerca y besa a Amanda.),160,0,0,KissAmanda()
160,0,0,,¿estais enamoradas?,No voy a contestar a eso.|(Te saca la lengua.),160,0,0,
160,0,0,Common_PlayerNotRestrained,(Sepárales.)|(1 minuto),Hasta luego Amy.  (giuña un ojo.),140,0,0,Separate()
170,0,0,,Haceis una pareja de|bondage genial.,(Asiente feliz.),170,0,0,BondageDuo()
170,0,0,Common_PlayerNotRestrained,(Sepárales.)|(1 minuto),(Se vuelve a su silla decepcionada.),150,0,0,Separate()
170,0,0,Common_PlayerNotRestrained,(Quítale la mordaza.)|(1 minuto),(Desabrochas y sacas la mordaza.)|¿No es emocionante Amanda?,160,0,0,Ungag()
200,0,0,,"@Uuumph, mmph!","(Se rie)  No te entiendo.|Soy Sarah,encantada de conocerte.",210,0,0,
200,0,0,,(Asientes con calma.),"(Se rie.) Estás genial así.|Soy Sarah, Encantada de conocerte.",210,0,-1,
200,0,0,,(Intentas señalar a Mildred.),"¿Te ató ella?  Muy bien.|Soy Sarah, encantada de conocerte.",210,0,0,
210,0,0,,(Intentas estrecharle la mano.),(Se acerca y te estrecha la mano esposada.)|Esto es divertido!  ¿Qué te pasó?,220,1,0,
210,0,0,,@Mmhgnm!,"Encantada de conocerte ""Mmhgnm"".|(Se rie.)  ¿Pero qué ha pasado?",220,0,0,
220,0,0,,@I kmyd mo knmdn|Mnng Mmdeng.,No entiendo ni J.|Pero estás preciosa atada así.,230,0,0,
220,0,0,,(Encoges los hombros.),Puede ser difícil de explicar.|Estás preciosa así atada.,230,0,0,
220,0,0,,(Le miras con seriedad.),"Lo siento, creo que no puedes hablar.|Estás preciosa asi atada.",230,0,1,
230,0,0,,@Oomngn!,Me encantan tus balbuceos. y|ojalá pudiera estar atada también.,240,0,0,
230,0,0,,(Asientes feliz.),Suena muy divertido.|Ojalá pudiera estar atada también.,240,1,0,
230,0,0,,(Bajas la cabeza.),¿Tu también eres sumisa?|Me gustaría estar atada como tu.,240,0,-1,
240,0,0,,(Asientes con|la cabeza.),¿Crees que puedo meterme |en líos si molesto a la profe?,250,0,0,
240,0,0,,(Mueves la cabeza a|derecha e izquierda.),Supongo que tienes razón.|Debería centrarme en la clase.,300,-1,0,
250,0,0,,(Asientes.),(Grita para molestar a la profesora|y acaba amordazada y esposada.),260,0,1,AnnoyMildred()
250,0,0,,(Mueves la cabeza a|derecha e izquierda.),Supongo que tienes razón.|Debería centrarme en la clase.,300,-1,0,
260,0,0,,@Uugnm mugn!,Loongm monng gnu!,260,0,0,
260,0,0,,(Guiñas los|ojos rápidamente.),(Ella te imita y sonríe.),260,0,0,
