Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
50,3,0,PlayerHasRope,Puedes hacerlo por|nuestra amistad.,"Ya veo.  Ok, Te ayudaré.|(Se da la vuelta.) Pero tu haces el primer movimiento.",60,0,0,AgreeHelp()
50,3,0,!PlayerHasRope,Puedes hacerlo por|nuestra amistad.,"Ya veo.  Ok, Te ayudaré.|(Se da la vuelta.) Pero tu haces el primer movimiento.",60,0,0,AgreeHelp()
50,0,3,PlayerHasRope,Si no me ayudas|Te vas a enterar.,Vale.  No quiero problemas luego.  Te ayudaré.|(Se da la vuelta.) Pero tu haces el primer movimiento.,60,0,0,AgreeHelp()
50,0,3,!PlayerHasRope,Si no me ayudas|Te vas a enterar.,"Vale,Te ayudaré.  Si quieres puedes usar estas cuerdas.|(Se da la vuelta.) Pero tu haces el primer movimiento.",60,0,0,AgreeHelp()
50,0,0,,¡Hazlo! Será divertido.,¡Ja!  ¿Crees que me puedes convencer así?|Dame algo bueno si quieres que te ayude.,50,0,0,
50,0,0,,Déjame pensarlo.,"(encoge los hombros.)  Bueno, Seré clara.|Necesito algo bueno para que te ayude a raptarla.",50,0,0,
100,0,0,SubdueRemarkReady,Apuesto a que también|estarías genial atada.,¿Qué?  Lo dices de coña. (Se ruboriza.),100,0,1,SubdueRemark()
100,0,4,SubdueRemarkReady,Reconócelo. Te encantaría|estar atada como ella.,(No dice nada pero se ruboriza.),100,0,1,SubdueRemark()
100,0,0,SubdueRemarkReady,¡Chócala!  Ahora la|clase si que mola.,¡Puta madre!  La mejor clase de siempre.,100,1,0,SubdueRemark()
100,0,0,SubdueRemarkReady,Tenemos una clase|diferente hoy.,¡Joder. Si!  Esto es genial.,100,0,0,SubdueRemark()
100,0,0,AmandaWhipReady,¿Quieres azotar|a Amanda? (1 minuto),¡Yeah!  (Coge tu fusta|y azota a Amanda varias veces.),100,1,0,AmandaWhip()
100,0,0,SarahWhipReady,¿Quieres azotar|a Amanda? (1 minuto),¡Joder. Si!  (Coge tu fusta|y azota a Amanda varias veces.),100,1,0,SarahWhip()
100,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(Susurra.) Deja de hacer ruido.,100,0,0,
100,0,0,Common_PlayerGagged,(Muerdes la mordaza.),(Susurra.) pareces una idiota.,100,0,0,
100,1,0,Common_PlayerGagged,(Intentas señalar|la mordaza.),(Susurra) Calla.|Te ayudaré después de clase.,100,0,0,
100,-1,0,Common_PlayerGagged,(Intentas señalar|la mordaza.),"(Susurra.) Quédate la mordaza,puta".,100,0,0,
100,0,0,Common_PlayerRestrained,(Luchas contra |las ataduras.),(Susurra.)Nunca te liberarás.,100,0,0,
100,0,-2,BowRemarkReady,(Inclinas la cabeza.),(Ella susurra.) Eres patética.,100,0,-1,BowRemark()
110,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(Levanta la mirada.),110,0,0,
110,0,0,Common_PlayerNotRestrained,(Le quitas la mordaza.)|(1 minuto),(sueltas y le sacas la mordaza.)|¡Puta moraza!,100,0,0,Ungag()
130,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(Levanta la mirada.),130,0,0,
130,0,0,Common_PlayerNotRestrained,(Le quitas la mordaza.)|(1 minuto),(sueltas y le sacas la mordaza.)|¡Puta moraza!,120,0,0,Ungag()
140,0,0,Common_PlayerNotRestrained,(desátale.),(Le desatas y se viste.)|¡Joder! Eres una pervertida.,100,0,0,Untie()
150,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(levanta la mirada.),150,0,0,
150,0,0,Common_PlayerNotRestrained,(Le quitas la mordaza.)|(1 minuto),(sueltas y le sacas la mordaza.)|¡Puta moraza!,140,0,0,Ungag()
150,0,0,Common_PlayerNotRestrained,(desátale.),(Le desatas y se viste.)|(Se señala la mordaza.),110,0,0,Untie()
